601,6,11,30,34,42,46    1,4,16,18,37,46
1,4,6,18,23,27,33       22,28,29,36,41,42
2,7,13,18,20,41,42      1,4,8,14,26,31
3,4,5,7,24,42,43        3,14,29,42,45,49
4,3,6,17,23,33,43       1,24,27,28,31,37
5,3,7,25,26,35,48       6,12,13,33,37,49
6,9,11,12,35,40,46      2,6,9,17,21,30
7,11,12,25,29,39,45     4,10,11,15,18,34
8,5,17,27,28,46,47      13,18,23,30,42,49
9,15,23,26,40,41,49     11,26,36,37,40,47
10,3,13,32,44,47,48     23,24,32,33,43,46
11,6,14,22,29,30,46     10,12,19,26,35,47
602,5,18,20,23,29,39    1,10,24,32,45,48     16,31,38,39,42,44   6,23,29,32,34,48
12,20,26,32,39,42,46    19,20,28,34,38,49
13,5,7,15,23,33,44      2,6,16,27,29,48
14,16,22,27,32,44,49    9,18,20,36,47,49
15,1,9,14,27,38,46      6,7,13,21,23,27
16,1,4,13,15,18,30      2,11,13,14,26,45
17,10,13,16,26,35,38    2,3,10,28,40,41
603,2,28,31,32,34,44    1,7,17,18,27,35
18,11,19,22,32,33,34    4,13,17,30,41,43
19,1,2,12,24,31,41      2,13,20,24,34,40
20,8,11,22,33,36,37     5,7,11,25,32,42
604,6,16,31,38,43,48    3,14,21,26,31,37     4,24,31,33,43,45    5,7,20,24,28,39
21,3,6,7,32,44,48       10,25,26,39,46,49
22,11,13,15,19,22,26    1,4,18,20,28,41
23,8,28,36,38,40,47     1,16,41,43,48,49
24,3,20,28,31,40,41     8,17,25,28,35,37
25,1,2,13,14,32,47      4,35,37,38,42,44
26,1,15,20,28,30,38     6,7,18,34,37,46
27,6,11,35,40,47,49     1,20,24,25,36,37
28,1,9,11,20,31,42      5,13,16,36,42,49
29,2,4,8,12,32,43       2,23,28,34,45,48
30,4,6,16,25,32,41      2,12,18,22,34,49
31,1,2,6,8,15,35        13,18,19,27,33,46
32,4,11,30,34,35,37     23,26,31,35,36,48
33,1,15,30,42,43,46     5,12,14,16,24,48
34,10,12,13,26,27,45    1,4,11,20,38,40
35,6,8,11,13,27,35      2,22,27,42,43,47
36,8,11,28,30,34,35     20,24,33,34,37,49
37,10,27,29,35,37,49    4,12,30,44,46,47
38,9,10,19,21,25,27     2,12,28,29,30,31
39,14,29,30,31,34,44    12,20,26,41,43,48
40,5,10,19,26,34,44     12,23,26,29,36,43
41,1,4,13,34,42,47      15,16,24,25,28,49
42,9,13,31,33,35,44     16,23,25,39,47,49
43,6,10,14,26,34,40     12,18,20,26,27,33
44,9,10,22,28,33,40     2,29,30,36,37,42
45,6,15,22,25,41,47     2,4,17,32,40,42
46,2,15,29,37,44,47     6,11,24,30,34,45
47,8,11,14,17,21,28     4,10,13,14,23,39
48,12,18,21,31,38,49    14,27,37,39,40,43
49,10,12,32,35,43,45    3,14,27,32,41,45
50,16,23,27,29,39,42    15,21,24,33,40,41
51,9,16,22,25,34,39     17,18,22,31,35,47
52,8,16,32,37,39,44     5,10,19,22,28,33
