1,15,27,29,40,43,47
2,2,14,21,43,45,49
3,1,9,12,19,47,48
4,2,12,23,35,36,41
5,14,15,24,34,36,49
6,4,10,15,26,36,49
7,10,13,39,42,43,44
8,13,14,16,19,26,37
9,1,9,21,29,36,38
10,1,4,8,9,25,38
11,6,7,11,17,36,39
12,4,8,10,20,24,27
13,6,7,11,18,22,32
14,4,10,24,43,48,49
15,7,18,26,30,31,34
16,21,26,32,33,39,40
17,2,4,13,33,39,46
18,9,26,40,41,46,49
19,5,9,16,27,42,47
20,3,14,22,28,34,42
21,8,16,21,39,43,45
22,6,13,20,21,29,41
23,1,3,4,11,34,36
24,1,19,21,25,29,45
25,24,25,26,28,34,37
26,6,28,29,33,36,44
27,3,7,13,25,26,42
28,4,9,17,22,24,37
29,5,20,28,39,42,46
30,1,6,12,17,31,38
31,7,13,23,26,44,46
32,4,12,14,17,19,46
33,7,9,28,33,42,48
34,13,17,20,31,39,47
35,2,4,8,38,42,49
36,13,16,25,30,31,41
37,9,10,28,30,33,35
38,6,8,18,32,42,44
39,4,16,19,22,47,48
40,6,7,13,20,22,31
41,2,6,12,22,34,42
42,13,15,20,31,36,45
43,11,16,20,23,42,49
44,4,11,12,36,38,47
45,1,12,24,34,43,48
46,1,14,15,29,44,47
47,1,11,12,28,36,45
48,16,18,23,29,37,48
49,12,24,27,30,34,49
50,5,9,12,23,24,28
51,2,20,25,26,38,42
52,13,34,41,43,46,49
601,3,4,20,33,37,48
