601,27,31,34,38,41,44   24,29,30,34,37,41
1,3,21,27,28,40,45      4,9,18,27,32,49
2,5,6,8,17,19,46        6,7,20,31,36,43
3,6,21,36,37,41,46      1,5,22,26,27,40
4,2,5,15,35,36,38       4,16,21,32,37,46
5,6,14,17,28,39,43      7,8,14,23,38,44
6,5,13,20,24,30,43      8,13,15,26,28,30
602,24,33,37,38,39,49   18,25,26,27,35,47     6,9,10,37,42,46     1,7,26,34,36,37
7,8,13,15,31,39,44      5,13,21,29,33,34
8,3,9,10,24,25,45       1,17,18,31,38,46
9,4,13,20,38,48,49      7,21,23,25,29,42
603,2,12,22,34,40,46    1,2,6,14,28,45
10,5,15,33,38,39,40     1,2,4,5,11,38
11,4,6,18,36,40,41      12,27,33,34,37,41
12,5,22,34,39,40,44     8,13,22,30,47,48
13,1,7,30,33,35,37      7,9,36,43,47,48
14,4,12,17,41,45,46     4,11,15,21,36,45
15,6,9,10,16,21,26      2,22,28,37,38,47
16,1,5,12,16,29,32      7,8,12,21,32,46
17,1,3,7,34,43,49       3,21,25,27,37,38
18,17,20,24,26,27,36    4,5,12,19,27,34
19,15,17,22,23,33,46    2,3,6,8,17,32
604,1,12,27,34,35,47    13,25,32,38,47,48     13,14,17,25,28,34   2,13,31,34,35,45
20,9,10,14,20,35,43     3,4,10,29,42,49
21,14,25,28,31,36,47    6,26,27,35,39,49
22,6,9,12,21,24,31      2,10,11,13,23,40
23,10,15,21,26,39,49    16,22,23,31,42,47
24,4,32,33,39,47,48     2,9,20,23,32,43
25,7,19,23,26,31,35     7,10,37,39,48,49
26,3,23,27,29,39,41     1,18,21,33,35,43
27,7,9,21,25,32,47      5,22,27,29,39,42
28,9,16,19,24,27,46     6,7,35,41,43,46
29,2,3,12,25,26,28      2,6,28,42,46,47
30,7,14,17,26,34,47     15,22,32,33,34,35
31,2,12,19,25,39,49     2,8,19,24,33,37
32,6,17,31,32,35,41     1,16,33,37,38,42
605,4,5,17,23,27,43     13,14,15,20,21,25     2,7,20,21,38,47     9,20,28,29,43,45
33,6,13,17,27,41,42     20,27,34,35,37,38
34,4,8,14,33,41,42      13,14,19,24,28,41
35,5,19,30,32,33,47     11,15,22,24,25,49
36,7,13,16,17,20,23     15,16,31,37,38,44
37,11,12,18,28,33,45    7,23,29,30,32,41
38,5,6,20,22,33,38      1,8,11,36,39,40
39,4,13,14,26,40,47     13,16,28,29,46,48
40,7,20,39,43,45,47     2,9,15,25,31,47
41,2,3,24,26,34,46      9,10,22,32,42,44
42,19,23,32,37,40,43    3,4,31,37,41,48
43,18,26,29,34,37,38    13,14,23,32,37,45
44,3,7,11,33,38,45      5,9,19,35,41,48
45,11,27,36,41,43,49    13,22,41,46,47,49
606,2,14,15,16,45,48    2,3,4,18,22,43       2,3,17,33,35,47     8,17,30,37,42,46
46,12,15,21,35,40,41    4,16,20,24,40,45
47,15,24,32,36,43,48    19,26,29,31,45,46
48,13,21,25,32,33,34    6,21,22,26,27,37
49,4,16,25,33,38,49     7,20,30,35,44,48
50,3,4,6,13,14,33       2,18,22,25,32,47
51,13,17,26,28,43,48    1,12,17,30,37,46
