601,11,20,25,26,32,45   8,25,34,38,42,44
1,2,14,15,30,36,43      1,8,11,27,46,49
2,22,27,28,29,31,33     5,10,12,15,28,43
3,2,5,11,27,35,38       7,13,40,41,43,45
4,18,21,32,40,41,49     22,26,28,36,39,41
5,10,20,21,32,42,45     8,9,14,33,35,37
6,1,2,7,10,19,47        2,4,9,13,16,45
7,3,24,30,31,43,46      4,12,19,28,31,44
8,6,24,33,39,48,49      3,4,6,28,40,44
9,3,11,18,24,27,34      4,9,13,14,23,44
10,7,20,35,39,46,48     1,26,29,41,42,47
11,13,17,20,21,46,47    5,16,30,40,44,49
12,12,16,26,39,45,48    1,9,25,31,43,47
13,3,9,21,22,28,40      16,22,24,29,32,38
14,11,18,19,33,36,46    1,9,13,19,24,39
15,1,3,13,15,31,45      7,8,13,23,36,39
16,6,13,21,41,43,46     25,27,28,36,39,45
17,8,22,25,29,35,48     1,9,10,21,26,47
18,10,11,15,17,24,44    7,11,18,22,34,39
19,10,15,21,31,33,34    5,16,19,35,38,46
602,6,8,9,22,29,44      11,16,17,21,26,47
20,3,6,27,28,32,37      4,8,15,18,27,33
21,10,15,17,22,43,49    9,12,25,31,37,43
22,2,13,14,25,26,44     3,23,24,33,45,47
23,11,13,17,21,33,36    14,17,28,36,41,49
24,2,12,13,19,33,49     1,4,12,26,28,45
25,17,19,20,28,37,41    11,23,26,27,38,48
26,11,17,24,28,36,38    3,9,17,26,30,36
27,5,16,20,29,33,34     5,8,11,36,45,49
28,17,18,22,27,31,46    8,16,18,24,30,42
29,10,11,12,27,37,47    12,19,22,36,41,44
30,3,21,23,30,43,48     5,12,14,27,30,36
31,8,9,10,19,36,46      4,25,26,27,37,38
32,9,19,26,40,42,45     2,12,19,30,44,49
33,15,25,32,33,36,42    1,25,29,33,42,43
34,17,20,21,27,44,49    2,4,6,11,27,45
35,2,6,13,19,29,42      5,9,15,21,27,32
36,1,25,35,38,39,45     8,14,17,25,32,39
37,2,14,20,36,37,39     5,8,10,18,30,44
38,11,19,24,28,29,36    6,8,11,15,33,36
39,32,39,40,41,43,46    8,18,25,26,45,48
40,10,20,24,31,36,48    2,10,24,29,33,45
41,7,8,10,11,39,41      2,21,24,30,34,43
42,8,14,15,25,26,42     17,28,30,33,37,48
43,6,32,36,39,41,44     5,28,36,37,42,46
44,12,13,20,21,36,43    4,8,14,17,28,35
45,15,16,18,33,34,44    1,3,12,34,37,41
46,6,27,32,37,38,42     5,7,22,41,47,49
47,5,16,22,33,37,49     3,11,15,20,43,45
48,2,5,13,15,22,24      6,15,24,32,41,47
49,10,21,23,34,36,42    2,5,7,12,14,23
50,3,5,7,24,42,44       4,21,33,37,39,44
51,4,7,17,25,35,44      4,7,12,15,16,21
52,13,23,29,32,34,36    12,14,33,41,43,44
