1,9,11,18,39,43,48
2,7,15,18,41,45,49
3,8,9,16,22,41,45
4,2,9,11,17,28,48
5,2,5,24,30,34,46
6,13,18,25,28,31,33
7,2,12,24,25,30,48
8,5,9,10,20,21,30
9,29,30,37,41,42,45
10,3,9,13,20,22,39
11,17,21,24,27,30,48
12,8,18,26,32,35,43
13,16,18,28,43,45,49
14,9,11,25,30,38,42
15,2,10,13,17,25,27
16,12,17,19,30,39,48
17,2,11,15,24,37,44
18,1,15,21,36,40,41
19,2,18,22,23,36,48
20,23,24,32,41,44,48
21,2,4,30,37,44,47
22,16,23,26,34,37,48
23,18,21,29,30,31,44
24,6,8,12,17,24,31
25,7,12,13,23,26,39
26,8,9,17,25,41,46
27,3,19,20,31,36,40
28,13,15,16,18,34,40
29,4,20,26,31,34,41
30,12,24,36,37,39,44
31,8,11,21,30,34,49
32,6,28,36,42,45,48
33,7,10,28,39,44,48
34,4,16,17,40,44,49
35,8,12,43,44,46,48
36,5,25,31,45,46,48
37,7,8,11,24,27,39
38,4,8,17,18,29,43
39,14,19,20,27,44,48
40,2,5,13,14,28,32
41,1,8,15,26,36,46
42,9,21,26,28,42,43
43,10,15,22,26,27,41
44,11,13,29,32,41,46
45,5,12,28,29,33,43
46,1,20,32,36,39,44
47,4,11,22,28,31,42
48,2,7,9,11,18,43
49,4,11,13,16,24,39
50,5,16,21,22,44,45
51,21,24,30,36,39,41
52,18,35,36,41,43,45
