1,5,9,21,24,39,48
2,13,14,25,29,42,48
3,15,16,19,23,39,45
4,1,3,6,21,31,42
5,3,6,23,42,46,49
6,2,4,5,9,13,31
7,8,17,28,29,38,43
8,1,2,12,17,24,49
9,10,22,27,38,46,49
10,11,15,18,31,38,49
11,1,3,4,11,37,38
12,2,8,29,37,41,46
13,3,14,18,24,29,39
14,15,24,25,29,38,48
15,14,23,33,36,37,48
16,6,17,18,23,42,49
17,4,10,12,25,27,33
18,3,5,6,16,44,49
19,12,16,21,39,41,49
20,3,5,11,12,19,30
21,3,4,23,25,44,48
22,5,24,26,35,41,44
23,1,2,5,29,38,39
24,1,11,25,26,34,46
25,9,13,16,34,38,41
26,6,30,39,40,44,46
27,1,13,16,17,25,35
28,4,6,20,22,38,40
29,12,15,19,25,35,45
30,1,14,19,25,28,39
31,6,7,21,27,36,39
32,12,14,22,28,29,34
33,4,5,17,21,30,47
34,20,21,23,28,34,44
35,13,18,36,37,41,43
36,14,16,21,23,32,47
37,4,7,11,16,22,33
38,4,6,7,17,20,25
39,5,8,17,25,32,45
40,12,14,22,30,36,40
41,14,23,31,40,47,49
42,14,20,23,27,38,45
43,16,26,28,33,37,49
44,1,4,7,28,35,39
45,14,17,22,29,31,45
46,6,11,20,24,35,43
47,14,26,27,28,29,45
48,3,9,11,19,20,31
49,17,23,34,35,38,47
50,1,4,25,29,33,34
51,5,12,18,25,36,38
52,4,10,18,19,25,31
