1,7,8,36,38,39,49
2,1,5,14,19,21,40
3,5,23,34,35,40,45
4,5,10,14,16,33,45
5,3,29,35,42,43,46
6,15,22,24,26,47,49
7,1,6,27,32,42,43
8,1,6,8,32,37,38
9,9,20,23,25,29,46
10,8,14,20,31,39,48
11,11,14,22,29,41,44
12,1,21,29,39,44,45
13,2,6,10,18,36,42
14,6,8,21,29,42,48
15,5,11,24,37,40,47
16,2,19,23,33,39,42
17,2,4,7,34,39,45
18,1,2,13,40,43,45
19,12,17,23,27,31,41
20,1,17,21,23,24,28
21,1,2,7,8,29,42
22,4,10,11,21,36,49
23,3,14,26,40,43,47
24,10,13,17,18,40,47
25,29,30,33,39,47,49
26,8,9,12,18,24,37
27,14,28,30,46,48,49
28,9,19,30,32,39,49
29,9,11,26,31,44,49
30,1,4,14,35,40,42
31,11,17,19,26,32,47
32,13,14,21,26,37,40
33,3,13,16,19,31,32
34,20,29,32,36,44,46
35,1,3,27,31,35,41
36,16,21,27,28,32,45
37,1,2,17,24,41,49
38,1,8,26,30,32,40
39,2,4,5,13,26,46
40,3,17,25,32,34,40
41,15,18,19,22,26,40
42,1,6,25,34,46,48
43,10,16,20,24,43,45
44,14,24,26,30,34,42
45,5,17,20,21,40,46
46,25,28,31,32,37,41
47,30,40,44,45,46,49
48,4,18,21,32,37,44
49,1,8,21,22,38,49
50,2,5,11,12,16,44
51,11,13,20,35,37,46
52,11,17,23,38,40,42
601,5,10,13,14,29,49
602,3,11,21,33,37,41
