  1		13, 18, 21, 30, 34, 37		 2, 19, 22, 30, 40, 42
  2		 1, 10, 16, 36, 41, 42		11, 13, 17, 23, 42, 47
  3		 3, 29, 32, 37, 45, 46		 2, 21, 22, 25, 33, 43
  4		 2, 21, 22, 23, 30, 32		 5,  7, 13, 28, 29, 41
  5		 1,  4, 12, 13, 33, 37		10, 17, 33, 38, 41, 44
  6		 6, 14, 26, 39, 45, 48		 5,  7, 12, 17, 36, 37
  7		11, 16, 22, 26, 41, 46		 1,  5,  6, 28, 29, 43
  8		14, 16, 20, 32, 35, 37		 7, 12, 19, 26, 32, 35
  9		 1, 11, 21, 36, 39, 42		 2,  4, 10, 13, 16, 24
 10		 8, 14, 19, 21, 23, 34		15, 18, 23, 26, 32, 46
 11		17, 31, 33, 43, 46, 49		 1, 17, 36, 38, 45, 46
 12		 2, 23, 27, 32, 39, 45		 2, 33, 39, 40, 44, 46
 13		13, 19, 21, 23, 42, 45		 6,  7, 30, 34, 44, 49
 14		 7, 15, 25, 26, 36, 40		14, 21, 29, 30, 41, 49
 15		 1,  3, 29, 42, 45, 46		 5,  9, 27, 31, 37, 46
 16		10, 13, 18, 23, 38, 46		 3, 20, 34, 38, 40, 45
 17		 4,  8, 12, 20, 24, 31		12, 17, 24, 30, 37, 46
 18		 2,  3, 16, 26, 34, 35		 6,  8, 11, 14, 22, 35
 19		 9, 12, 19, 22, 25, 45		 1,  9, 15, 25, 38, 39
 20		 5,  7, 28, 32, 45, 47		10, 15, 18, 26, 28, 48
 21		 6,  7, 11, 18, 22, 32		11, 29, 31, 32, 39, 43
 22		12, 14, 26, 35, 41, 43		 7,  9, 12, 13, 15, 46
 23		 5, 15, 20, 23, 25, 37		 2, 20, 23, 30, 33, 43
 24		 1, 11, 16, 27, 30, 33		15, 17, 19, 45, 47, 49
 25		 2,  5, 11, 25, 37, 38		13, 18, 29, 34, 42, 46
 26		11, 23, 24, 28, 31, 35		 6, 26, 37, 38, 43, 44
 27		 4, 13, 17, 26, 29, 41		 6,  8, 20, 30, 45, 49
 28		 2,  9, 36, 40, 41, 47		 1,  2,  6, 21, 23, 30
 29		 1,  2,  7, 13, 41, 45		17, 25, 42, 46, 47, 48
 30		 8, 14, 18, 20, 46, 49		 2,  9, 11, 21, 23, 44
 31		 2,  8, 18, 40, 45, 46		 5,  6,  7,  9, 15, 18
 32		 1,  7, 28, 37, 44, 49		 9, 10, 20, 30, 46, 47
 33		20, 22, 26, 40, 47, 49		15, 26, 30, 40, 42, 44
 34		 7, 17, 23, 26, 34, 42		23, 29, 31, 35, 41, 48
 35		 4, 15, 18, 29, 32, 48		 2,  6,  7, 19, 29, 47
 36		 7,  9, 19, 30, 39, 43		 5, 12, 21, 23, 27, 46
 37		10, 18, 21, 25, 30, 38		 5, 25, 36, 37, 38, 49
 38		 8, 26, 29, 43, 47, 48		 5, 15, 20, 28, 43, 47
 39		 5, 15, 17, 26, 29, 45		21, 22, 29, 32, 35, 44
 40		 4, 15, 22, 35, 42, 44		11, 15, 27, 30, 41, 43
 41		 5, 10, 22, 38, 41, 48		 8, 18, 23, 29, 36, 45
 42		 2,  5,  7, 11, 26, 31		 2, 14, 24, 33, 34, 41
 43		 1, 15, 19, 33, 37, 45		 5, 10, 20, 31, 35, 46
 44		 3,  6, 11, 15, 35, 46		 2, 15, 32, 33, 47, 48
 45		 6, 11, 14, 32, 36, 40		 5, 13, 14, 25, 40, 41
 46		15, 18, 28, 39, 46, 47		13, 23, 27, 34, 38, 42
 47		 9, 17, 27, 42, 47, 49		 6,  7, 10, 14, 21, 33
 48		10, 22, 27, 40, 43, 49		 5, 16, 27, 34, 37, 49
 49		13, 15, 17, 21, 38, 48		10, 16, 21, 44, 46, 47
 50		 6, 10, 15, 29, 32, 45		 3, 10, 28, 29, 37, 44
 51		 6, 16, 21, 24, 34, 35		 5, 16, 25, 27, 28, 36
 52		 7, 11, 24, 25, 43, 46		12, 16, 17, 24, 30, 41
 53		 2,  4,  7,  9, 37, 38		 6, 10, 12, 25, 35, 43
 54		 5,  6, 15, 26, 38, 42		10, 27, 31, 36, 39, 49
 55		10, 11, 17, 24, 26, 38		 2,  5,  6, 27, 34, 45
 56		 1,  8, 13, 31, 39, 43		 1,  5, 15, 32, 34, 37
 57		 1,  2,  6, 11, 40, 48		 2, 12, 36, 41, 42, 49
 58		 5,  6, 11, 13, 23, 35		 8, 11, 18, 34, 41, 48
