1,2,11,12,16,21,31      11,14,21,30,32,41       6,7,8,22,29,35
2,12,15,19,21,22,35     6,28,30,32,38,44        6,12,28,39,43,49
3,26,27,29,30,33,44     11,15,27,29,35,40       16,17,18,22,26,47
4,19,24,25,30,32,35     23,26,29,31,40,44       1,8,10,12,27,29
5,10,25,27,33,35,38     5,9,11,15,27,36         12,15,20,27,36,39
6,11,17,19,33,44,49     9,27,28,34,40,46        2,28,37,38,44,46
7,2,9,23,25,43,46       2,24,25,31,39,41        7,14,21,25,35,40
8,7,8,11,30,35,49       5,12,24,37,45,47        11,31,34,38,47,49
9,13,18,35,36,38,48     3,13,24,30,40,49        16,19,25,29,40,43
10,3,8,12,21,36,45      1,5,9,16,17,44          2,16,19,29,30,36
11,7,8,11,29,39,41      2,3,5,10,24,40          5,19,24,31,40,48
12,4,22,26,29,41,49     1,8,22,34,42,48         9,12,19,25,31,49
13,11,17,23,38,40,46    8,11,14,15,44,49        4,25,28,39,43,47
14,4,23,24,37,42,45     1,14,23,24,30,41        8,9,26,27,43,44
15,2,6,7,21,40,47       4,5,11,12,16,24         17,24,28,42,44,48
16,1,6,18,29,33,44      1,30,34,38,39,43        4,32,41,42,46,48
17,14,19,41,42,43,45    3,4,29,33,37,47         8,14,22,29,32,35
18,3,9,13,18,22,46      14,17,18,21,32,41       13,21,25,27,44,49
19,10,14,21,38,41,42    13,34,38,44,46,49       10,14,21,29,41,48
20,5,7,14,24,42,44      3,5,11,33,42,43         31,34,36,39,40,49
21,10,16,24,34,35,39    9,15,17,34,35,49        2,6,21,22,37,45
22,2,6,7,24,30,44       1,8,14,15,19,49         5,12,26,32,36,46
23,8,10,22,34,43,45     12,25,27,29,32,44       7,8,10,14,18,43
24,2,3,16,31,39,40      8,15,19,31,37,39        1,7,18,30,34,48
25,9,17,18,22,23,32     5,6,9,15,20,38          12,14,37,38,44,49
26,4,11,13,23,27,34     1,2,29,31,32,37         7,14,18,23,36,37
27,12,16,18,22,26,47    27,34,44,45,46,48       6,24,27,36,37,39
28,3,10,17,21,26,28     6,7,26,30,32,38         3,8,18,22,37,46
29,3,4,12,24,40,47      5,11,15,17,20,21        1,8,10,28,36,45
30,22,23,34,41,48,49    1,7,11,18,22,39         10,13,36,41,44,47
31,6,15,27,37,41,47     14,17,31,40,42,43       12,21,31,33,39,45
32,8,25,37,39,41,44     10,25,29,38,39,47       12,27,29,33,46,49
33,4,9,13,19,42,44      7,10,26,30,35,42        9,11,20,23,26,30
34,12,15,37,41,44,45    6,29,30,31,40,45        3,13,17,18,19,34
35,5,8,15,20,28,48      18,21,28,34,47,49       3,15,22,27,37,41
36,5,9,18,30,31,48      7,8,17,34,36,37         2,19,20,24,42,43
37,1,25,27,31,33,36     24,41,44,45,48,49       4,12,36,40,42,48
38,17,33,39,40,42,49    3,12,18,31,45,48        7,18,36,42,48,49
39,10,16,18,19,23,46    7,8,18,36,37,38         11,14,18,19,22,47
40,5,7,8,15,29,33       5,8,15,29,40,46         2,19,29,30,37,43
41,8,10,11,22,30,33     11,14,15,27,43,47       22,27,31,32,38,40
42,2,8,13,15,18,25      11,17,20,30,33,37       6,20,26,37,40,48
43,17,27,35,39,40,44    10,23,25,26,27,44       1,3,4,22,24,33
44,8,13,16,17,22,41     3,14,16,19,20,31        12,24,27,29,31,38
45,12,13,21,30,39,46    6,8,22,24,29,49         2,20,23,29,33,43
46,6,16,22,28,39,49     3,4,6,8,24,30           12,16,19,28,42,49
47,10,24,28,30,36,42    5,6,13,14,25,38         7,11,24,34,43,46
48,5,9,22,26,29,39      1,5,9,13,17,21          1,23,31,32,34,43
49,12,37,38,42,43,49    8,13,18,30,31,36        8,20,23,24,25,26
50,7,11,29,31,45,46     9,18,26,28,36,43        8,34,35,37,40,44
51,19,20,41,45,47,49    12,18,28,29,43,44       6,14,25,32,42,46
52,8,10,12,16,40,43     4,5,14,31,34,40         1,6,10,17,27,42
53,4,6,7,15,31,37       20,23,35,43,44,45       11,13,19,27,32,47
54,13,21,32,39,43,46    2,5,7,14,29,30          7,20,26,33,36,40
55,2,18,27,30,34,48     3,6,21,23,29,48         4,19,21,24,42,47
56,1,2,8,13,26,41       1,26,36,37,42,47        6,9,11,13,25,41
57,7,10,21,25,37,44     2,12,27,29,33,44        1,2,5,22,25,33
58,10,11,20,32,35,38    8,22,33,41,48,49        12,16,28,29,37,39
59,1,22,29,34,35,39     9,15,28,33,35,40        8,9,22,28,34,37
60,4,11,44,45,46,48     4,11,22,28,38,40        8,9,31,34,40,42
61,13,16,22,24,31,45    4,21,24,26,47,48        11,14,15,21,33,49
62,12,13,29,38,39,40    9,15,21,40,45,47        13,17,27,39,41,47
63,3,13,20,38,45,47     8,16,32,37,45,49        10,16,33,34,39,41
64,7,20,24,37,44,46     4,6,16,25,28,30         17,25,26,27,34,47
65,11,13,24,35,42,49    16,19,33,36,38,42       11,19,21,29,38,42
66,5,30,34,36,38,42     14,20,28,31,35,45       5,12,20,29,40,41
67,7,15,27,33,38,46     12,18,28,41,46,48       8,9,18,20,29,43
68,3,20,23,32,33,42     4,6,28,39,43,48         7,11,16,27,29,43
69,15,21,27,29,31,49    7,13,14,24,45,47        6,7,34,38,44,46
70,1,3,17,29,43,47      4,18,19,28,42,49        7,9,18,28,32,49
71,8,9,15,24,41,46      2,29,35,38,40,47        2,4,15,20,21,34
72,7,10,12,32,37,46     13,14,18,19,20,30       1,12,28,35,36,49
73,1,10,28,31,38,41     8,12,19,39,40,45        5,13,34,36,37,43
74,1,11,17,29,37,40     2,17,19,23,29,48        4,11,12,13,15,33
75,3,7,22,32,34,47      3,9,16,31,46,49         2,19,20,29,35,39
76,4,6,9,13,29,32       4,12,16,22,40,41        12,18,19,21,39,46
77,9,17,25,32,36,41     3,5,28,34,46,48         1,4,8,18,19,44
78,3,10,31,35,39,41     8,13,15,36,42,43        18,26,27,34,46,47
79,11,17,24,25,29,33    4,12,13,19,21,36        15,17,20,29,37,48
80,6,9,19,38,45,48      3,4,7,22,25,40          2,11,12,24,26,45
81,1,5,9,27,31,39       4,6,7,31,33,45          1,7,9,22,26,49
82,10,15,22,34,38,44    3,18,32,39,43,47        16,22,25,34,39,48
83,15,18,25,31,39,48    2,31,38,40,43,47        9,15,16,21,32,38
84,10,11,15,29,37,46    2,10,16,25,26,33        1,16,24,42,47,49
85,4,14,15,17,25,30     4,7,36,40,46,47         2,7,17,28,35,40
86,6,7,8,13,26,32       3,21,22,24,37,41        5,6,35,40,42,44
87,1,36,37,42,43,48     8,16,25,26,41,42        5,17,23,24,40,46
88,12,20,23,38,44,45    19,27,31,42,43,47       6,25,35,39,40,42
89,3,6,21,25,32,36      2,7,11,39,40,45         7,13,16,23,28,34
90,2,13,19,22,39,49     19,26,33,39,43,44       5,11,21,25,42,47
91,2,13,16,27,40,46     1,9,10,14,23,36         1,5,16,20,29,32
92,10,28,32,46,47,48    6,7,26,36,37,40         5,11,17,18,35,47
93,1,21,23,25,35,48     2,18,28,34,36,47        3,14,20,21,23,35
94,7,8,22,29,35,43      2,10,13,30,42,46        19,28,30,36,45,46
95,6,10,11,29,32,49     27,31,36,42,44,49       10,15,20,30,34,45
96,17,21,30,33,40,44    3,18,20,27,40,42        2,6,16,19,21,41
97,7,17,19,22,24,35     4,5,11,24,27,46         1,2,12,14,25,29
98,4,8,12,21,27,38      24,26,34,38,45,48       20,36,39,44,47,48
99,1,9,10,23,24,30      4,6,26,33,39,42         1,5,9,22,36,41
100,6,11,13,41,44,49    1,9,16,31,39,47         1,7,24,29,35,42
101,5,18,23,27,45,47    13,24,25,29,38,39       2,7,17,19,25,33
102,4,11,13,20,24,42    14,25,28,41,42,49       5,10,18,20,45,49
103,1,9,14,16,17,40     2,7,11,20,26,40         1,5,6,12,22,30
104,9,20,22,26,36,46    1,6,14,27,31,36         7,10,33,39,44,45
