  1-14,16,18,19,40,42      5,9,26,27,39,44      3,6,7,15,19,44
  2-13,14,19,25,34,36      4,6,12,35,37,45      6,18,36,39,43,45
  3-1,10,28,32,36,39       5,8,29,37,39,47      4,29,38,41,42,48
  4-2,6,15,28,30,42        5,17,34,36,45,47     15,17,19,27,41,45
  5-10,21,32,34,40,45      22,25,27,28,37,39    19,27,29,32,38,48
  6-5,13,18,25,30,46       1,3,5,6,15,36        6,12,16,24,27,34
  7-7,17,23,30,38,42       1,2,22,31,33,39      3,5,28,36,45,49
  8-2,17,21,23,28,31       2,16,24,27,35,40     6,10,12,17,18,20
  9-11,12,15,30,42,44      4,15,16,20,33,36     7,14,20,21,26,34
 10-11,22,29,30,40,46      16,17,23,31,34,35    1,11,25,43,45,48
 11-20,25,34,38,41,43      5,13,15,35,41,42     8,26,31,38,44,47
 12-9,11,25,31,34,36       10,18,19,29,41,48    9,13,26,27,38,44
 13-6,13,32,40,46,48       3,4,8,20,45,48       1,2,6,27,31,44
 14-23,31,32,43,46,49      2,9,15,24,38,42      2,10,11,35,38,45
 15-15,18,23,25,30,49      10,11,34,37,41,42    3,4,26,30,36,38
 16-1,5,7,26,37,43         16,20,34,35,42,45    9,18,20,38,39,43
 17-2,4,24,28,29,42        2,16,21,23,25,33     4,11,12,26,30,42
 18-10,14,19,33,37,49      3,12,14,19,21,31     6,12,22,38,41,44
 19-4,12,13,23,39,47       4,12,13,27,28,46     4,6,15,30,31,48
 20-31,38,39,41,43,45      4,7,8,23,33,41       19,22,25,32,34,38
 21-3,4,23,36,41,46        5,9,19,20,24,37      8,19,33,34,38,41
 22-4,6,20,22,42,48        9,11,22,30,45,46     9,10,15,21,27,37
 23-1,6,8,14,30,39         3,6,20,22,39,41      3,4,6,9,19,39
 24-6,21,22,25,36,48       3,8,14,18,19,33      3,10,20,23,31,46
 25-4,7,23,33,46,48        8,10,19,27,33,45     18,22,23,26,28,32
 26-8,16,21,22,32,48       1,14,17,23,29,32     3,26,39,42,48,49
 27-2,4,12,22,25,42        12,23,25,28,38,43    25,31,34,39,45,47
 28-3,6,14,28,29,49        10,16,31,32,36,40    11,12,21,34,46,48
 29-10,21,24,27,32,33      18,21,24,35,36,39    14,15,27,32,46,49
 30-3,5,6,16,17,22         14,16,25,27,29,31    2,7,12,25,31,39
 31-12,13,17,31,37,46      1,21,30,34,42,49     5,14,15,16,25,35
 32-18,23,30,38,45,47      7,13,21,23,34,42     2,10,14,16,25,26
 33-9,10,15,16,46,49       1,5,7,17,30,45       15,19,23,34,38,40
 34-5,15,29,30,33,35       11,17,23,26,46,48    14,15,18,29,36,39
 35-2,4,20,25,29,40        2,3,7,11,20,40       2,16,18,19,34,38
 36-1,15,32,36,43,49       4,9,20,22,36,42      4,17,22,28,38,48
 37-6,30,40,41,46,49       4,19,23,25,36,38     2,18,34,38,40,41
 38-15,17,25,28,32,49      1,11,23,26,28,35     15,17,25,34,41,48
 39-11,21,23,28,32,43      8,15,24,34,40,46     5,6,21,43,46,48
 40-9,14,21,25,29,32       4,21,32,33,34,42     9,10,24,42,46,49
 41-16,18,27,38,41,48      16,17,21,30,31,33    5,7,20,24,31,40
 42-6,10,27,30,32,43       10,16,19,20,37,46    2,9,20,22,24,46
 43-13,19,23,25,34,43      4,5,10,28,35,43      15,23,25,37,39,46
 44-2,12,33,35,39,43       13,14,17,23,34,41    6,22,26,43,44,46
 45-6,11,13,14,42,49       3,5,7,25,28,31       5,13,25,35,37,48
 46-4,6,16,19,21,23        3,5,11,14,19,31      1,9,12,21,29,38
 47-4,6,29,37,39,40        5,18,19,20,21,49     3,8,14,28,39,45
 48-13,21,32,39,42,44      4,16,17,27,34,40     8,13,14,30,32,34
 49-2,14,25,39,44,49       19,21,26,40,47,49    1,6,10,12,35,49
 50-1,4,7,8,26,32          2,12,25,31,37,40     11,12,15,16,44,49
 51-9,21,30,37,43,47       6,19,29,32,46,49     1,22,25,38,42,48
 52-2,3,6,15,17,35         1,2,5,15,30,45       2,25,36,39,40,48
 53-1,11,14,15,21,25       1,7,9,32,38,49       6,21,24,31,42,48
 54-9,12,14,29,36,37       4,9,26,35,44,49      4,6,16,26,32,34
 55-2,5,14,31,33,47        10,18,28,32,39,44    6,29,30,38,40,43
 56-30,35,37,38,43,49      4,13,16,17,22,45     21,28,29,36,42,48
 57-8,9,25,30,38,48        1,39,42,45,46,48     11,23,24,27,34,36
 58-7,8,21,37,41,47        4,6,13,34,42,47      12,17,32,34,41,44
 59-3,14,17,22,23,41       13,14,18,35,45,48    5,9,25,36,45,48
 60-4,8,13,24,29,48        6,7,30,33,39,46      2,3,4,27,44,49
 61-3,15,26,35,38,47       14,23,30,32,37,48    3,15,17,35,43,49
 62-1,5,24,31,33,46        2,8,28,34,44,49      4,8,9,12,19,42
 63-7,16,22,25,29,42       5,7,28,35,45,46      6,12,19,21,40,41
 64-7,11,15,26,46,49       3,4,13,26,40,48      2,5,7,26,38,45
 65-1,21,22,28,34,42       1,13,14,24,33,43     10,14,15,18,26,33
 66-23,26,29,44,45,46      8,17,20,21,28,44     30,35,38,40,44,49
 67-8,9,14,25,30,48        4,8,37,38,40,45      5,14,23,24,38,40
 68-2,24,25,30,34,37       6,7,24,43,46,49      3,8,10,13,25,45
 69-3,8,22,27,39,42        5,7,11,29,47,49      7,15,24,26,35,45
 70-8,15,21,39,41,47       14,18,36,40,45,48    12,18,28,30,39,41
 71-4,17,32,42,44,45       2,7,16,19,24,37      12,16,28,38,42,45
 72-6,15,16,26,32,41       6,18,25,27,41,45     10,14,44,45,47,49
 73-4,6,19,24,34,43        4,23,33,34,45,47     2,3,7,12,20,30
 74-10,19,25,45,46,48      6,11,22,27,35,48     8,20,27,36,45,48
 75-7,16,21,26,32,34       3,14,15,34,35,40     12,13,16,23,24,25
 76-9,17,25,35,43,49       18,21,40,42,47,49    7,15,20,39,43,49
 77-11,17,27,32,33,43      1,3,10,11,41,46      4,10,16,18,29,47
 78-10,11,32,39,41,45      6,9,13,16,32,43      2,3,10,26,35,39
 79-5,21,31,36,44,47       9,30,33,42,46,47     6,14,26,34,40,47
 80-26,29,35,44,48,49      2,3,17,24,41,43      1,2,3,19,25,41
 81-1,9,24,31,32,45        16,18,24,26,33,46    11,14,22,26,31,38
 82-1,23,27,30,32,47       5,6,17,20,33,49      1,4,8,20,42,44
 83-4,7,8,19,38,48         11,12,18,24,38,43    4,7,28,32,46,48
 84-5,8,21,27,32,44        4,5,13,19,28,35      2,12,17,18,24,34
 85-11,30,32,34,36,49      11,14,29,31,43,44    4,11,13,16,26,46
 86-3,9,10,16,21,23        16,18,28,31,36,48    20,28,33,38,39,48
 87-1,2,8,11,24,45         6,9,18,22,44,45      2,3,5,9,13,35
 88-4,6,18,30,35,39        13,16,27,32,33,37    4,10,13,21,22,25
 89-14,18,27,30,34,49      1,3,20,21,23,36      5,9,25,26,35,47
 90-14,19,41,44,46,49      7,11,12,31,39,43     6,15,20,22,40,49
 91-6,25,28,33,37,43       2,13,15,33,39,46     10,31,36,42,47,48
 92-5,6,18,26,39,48        3,21,26,30,43,48     2,9,10,17,18,45
 93-3,19,36,37,41,48       10,19,21,29,43,44    1,3,4,12,23,26
 94-7,8,36,47,48,49        5,8,37,40,42,49      15,16,18,29,33,37
 95-4,14,21,26,36,49       10,11,13,35,44,47    1,20,26,34,40,48
 96-6,11,17,38,42,49       1,2,27,34,42,47      6,15,29,31,35,48
 97-2,10,16,20,39,48       1,10,18,27,40,41     6,12,29,39,43,45
 98-13,16,29,34,38,44      4,8,11,21,25,33      14,24,30,36,43,46
