1,14,17,22,31,42,48
2,5,6,9,24,26,36
3,16,21,24,28,45,49
4,7,11,25,27,36,40
5,17,28,30,39,40,47
6,2,5,17,20,40,48
7,11,29,30,42,45,48
8,1,20,27,28,37,42
9,3,23,27,28,38,40
10,3,24,33,41,42,47
11,4,10,21,41,42,47
12,6,10,11,21,26,48
13,11,22,24,32,34,45
14,16,22,24,25,37,43
15,3,6,12,14,38,40
16,4,19,30,35,42,49
17,6,23,29,34,35,39
18,3,13,27,35,36,37
19,3,5,29,38,40,45
20,5,15,16,34,38,49
21,12,18,23,31,36,45
22,24,25,33,37,40,41
23,2,22,29,39,41,44
24,27,28,29,36,39,48
25,20,22,39,40,41,49
26,1,4,14,18,28,38
27,7,11,13,17,33,48
28,4,9,12,30,38,41
29,6,7,19,31,37,43
30,2,17,22,25,31,49
31,7,9,33,41,47,49
32,2,12,14,29,46,48
33,6,7,24,41,43,44
34,14,21,26,43,44,46
35,8,13,30,31,35,46
36,10,11,12,15,36,44
37,2,16,22,27,37,42
38,1,2,6,31,34,40
39,1,18,22,23,26,30
40,10,12,31,33,40,44
41,5,8,21,29,31,34
42,7,16,27,36,37,47
43,17,21,25,26,37,49
44,7,12,15,16,18,37
45,3,12,22,28,32,49
46,6,14,25,30,40,45
47,1,15,19,20,25,46
48,2,9,10,13,14,31
49,3,11,12,18,20,43
50,5,7,15,16,31,47
51,1,3,9,11,21,35
52,16,30,37,41,46,47
53,5,10,14,17,22,26
