1,3,5,11,35,36,41       3,7,26,38,41,44
2,6,8,14,19,40,47       3,32,38,39,42,44
3,5,7,12,13,36,44       8,24,28,32,40,44
4,2,4,9,13,25,32        1,18,26,36,41,44
5,2,3,8,33,46,47        3,12,18,34,40,49
6,2,9,16,17,30,31       1,3,20,36,40,42
7,1,15,17,22,40,48      13,16,17,23,24,49
8,12,15,18,19,28,38     2,13,19,21,28,42
9,7,13,24,29,44,46      5,11,17,26,38,42
10,13,18,21,25,26,48    1,4,21,22,38,45
601,15,17,25,28,35,45   6,9,30,40,44,49
11,4,13,31,32,33,36     16,19,35,38,43,45
12,9,19,21,28,32,33     8,13,27,37,41,45
13,5,7,44,45,48,49      2,10,17,19,27,41
14,11,12,16,23,26,46    4,6,19,32,33,39
15,1,3,5,25,33,41       2,6,10,19,23,40
16,7,20,28,35,39,43     2,15,22,23,37,40
17,1,17,24,27,29,39     14,15,17,18,20,35
18,2,12,24,32,34,43     2,7,22,24,26,38
19,3,8,10,21,39,42      12,19,21,22,31,37
20,14,27,28,29,31,46    7,8,16,23,38,42
21,4,10,24,28,33,38     4,15,21,24,28,41
22,8,12,13,19,21,24     5,17,18,41,45,48
23,1,9,17,19,22,35      7,9,14,17,20,35
24,6,10,19,27,29,37     7,8,9,20,33,43
25,12,17,26,27,33,41    6,10,17,22,24,27
26,8,19,23,34,46,47     21,22,28,36,39,45
27,11,17,22,23,29,32    3,6,14,16,18,46
28,3,9,12,22,24,35      4,19,25,29,36,47
29,5,10,20,40,41,48     1,4,21,32,44,47
30,2,10,24,28,39,48     7,12,15,21,34,37
31,14,20,26,31,38,40    13,20,23,32,44,45
32,1,6,18,22,31,40      13,16,31,32,35,40
33,6,9,24,35,38,45      1,10,33,34,40,41
34,4,8,15,19,24,34      11,14,18,26,31,34
35,5,6,16,42,45,48      1,8,19,27,34,40
36,4,6,8,17,18,22       6,8,20,26,38,48
37,14,18,20,21,26,39    1,6,8,11,16,18
38,6,13,42,47,48,49     4,7,35,41,42,46
39,3,18,22,25,29,36     11,32,34,41,42,47
40,17,22,25,42,43,44    11,21,30,31,42,48
41,10,18,19,31,36,46    1,14,29,37,42,48
42,2,5,21,24,27,28      24,25,28,33,39,44
43,22,24,31,33,43,49    6,10,20,33,43,46
44,7,12,13,22,34,48     10,21,22,24,38,48
45,11,14,20,35,46,47    1,10,12,26,35,47
46,9,21,22,32,36,38     3,10,20,28,34,45
47,17,24,33,37,43,49    11,19,20,39,48,49
48,4,6,35,39,46,47      3,17,34,35,41,46
602,1,4,5,6,7,22        22,27,29,36,38,43
49,12,22,29,33,40,44    1,9,21,24,36,43
50,13,22,25,38,42,46    1,9,16,20,40,41
51,6,31,37,44,45,49     6,10,14,23,42,49
52,5,9,16,30,34,49      2,32,34,36,41,47

