
  1-14,17,21,24,25,32		4,27,28,41,47,49		14,19,23,24,41,42
  2-4, 7,30,38,41,42		15,16,18,35,38,49		7,16,32,34,41,49
  3-12,22,30,33,42,44		2, 4, 7,10,18,44		7,26,28,31,34,41
  4-13,38,43,46,47,49		22,28,34,43,45,46		1, 2, 6,24,26,38
  5-11,15,19,23,31,37		12,14,19,24,25,29		16,20,39,41,42,49
  6-12,16,30,32,40,42		4, 5,10,24,40,41		6,28,34,37,44,47
  7-7, 8,13,35,36,41		1, 3,19,26,31,45		5,14,26,35,39,40
  8-12,22,26,37,41,49		12,13,20,34,42,47		3,13,19,26,32,44
  9-6,17,35,36,39,44		4,20,33,35,44,49		1, 5,14,28,36,37
 10-18,19,26,29,34,49		2,17,29,37,43,47		1, 7,11,27,28,41
 11-1, 3, 4, 6,11,15		11,14,16,19,31,45		11,14,25,34,47,49
 12-13,26,28,30,37,44		8,11,17,26,31,41		16,21,23,43,48,49
 13-7,15,22,34,38,48		14,23,27,34,40,48		1, 6,18,27,30,35
 14-12,22,27,40,47,48		4,18,22,28,31,48		2, 3, 6, 9,24,48
 15-3,13,15,34,40,45		15,16,22,24,30,44		5,10,26,27,28,29
 16-1,13,23,28,35,36		6,13,19,26,30,34		3, 5,14,25,35,46
 17-15,20,23,28,32,38		3,21,28,31,42,45		4,23,34,44,47,48
 18-2,21,24,25,29,34		1, 3,10,16,24,33		4, 5, 8, 9,25,40
 19-7,18,19,22,40,44		18,19,26,30,34,43		5,18,36,45,47,49
 20-21,28,31,39,47,48		5, 6,18,21,32,41		7, 8,21,24,28,38
 21-9,22,28,33,38,47		7, 9,27,29,45,47		2,21,25,38,40,49
 22-2,31,32,35,40,49		12,17,25,31,41,45		15,21,24,25,33,49
 23-6, 8,24,30,43,48		2,10,11,13,24,33		10,12,14,25,30,44
 24-3, 4,13,17,25,44		7,11,12,44,45,48		9,11,13,17,34,46
 25-5,13,20,21,23,34		14,19,21,26,40,43		6,20,33,35,37,48
 26-4, 9,16,24,38,48		3, 6, 7,10,12,45		2,15,20,24,27,36
 27-10,15,21,34,35,36		4,11,37,42,43,44		7,31,34,44,46,48
 28-9,16,34,41,43,48		3, 7,10,22,37,40		3,16,21,36,41,46
 29-23,29,37,38,45,46		1, 4, 5,26,27,35		11,13,18,27,47,48
 30-7,15,18,35,41,42		10,29,32,33,37,41		19,22,23,34,40,45
 31-2,21,28,35,38,41		25,27,28,41,44,45		1, 6,26,28,33,43
 32-15,16,17,31,36,46		4,17,18,22,27,49		6, 8, 9,28,33,34
 33-4,25,40,41,42,46		8,25,29,42,48,49		17,20,30,35,37,46
 34-1, 8,13,24,25,48		8,10,26,32,39,41		2, 8, 9,27,38,39
 35-25,26,27,40,42,45		5,13,28,30,38,39		11,14,19,32,40,44
 36-6,11,35,41,43,45		5,11,34,38,42,44		11,27,30,43,44,48
 37-18,23,24,28,30,42		1, 7,10,15,36,43		10,13,20,28,34,41
 38-14,23,26,34,38,44		3,17,18,22,32,42		2,19,23,36,41,42
 39-25,28,41,42,43,48		1,13,16,17,23,24		10,17,19,28,48,49
 40-9,16,17,31,43,46		11,16,25,28,32,45		4,24,29,31,37,43
 41-17,20,30,40,41,42		21,22,40,42,46,49		7, 8,11,14,33,42
 42-9,20,21,22,44,49		1, 4,21,24,47,49		6,15,24,28,29,43
 43-4,10,19,22,39,46		4,13,18,29,46,48		21,33,35,38,39,49
 44-4, 9,11,16,17,24		5, 9,21,24,42,48		3, 5,22,25,37,48
 45-5, 7,12,19,32,49		3,12,16,26,33,35		13,17,35,36,41,47
 46-3,14,15,28,34,38		1,14,15,29,32,41		3, 8,11,24,43,46
 47-12,15,19,23,27,31		7,10,23,33,34,43		3, 6, 8,22,33,41
 48-6,11,24,33,48,49		8,11,12,25,34,44		4,11,13,27,33,35
 49-6,16,30,41,45,48		3,11,13,27,33,41		8,13,28,31,37,43
 50-3,26,28,32,34,42		7,10,12,22,30,48		6,12,15,33,40,46
 51-7,13,20,23,38,41		1, 9,10,13,17,20		2,10,13,16,33,34
 52-5, 8,24,27,31,47		6, 7,10,35,36,45		1, 4,24,34,44,47
 53-2,15,17,27,30,40		11,13,15,38,43,49		3,22,23,28,31,34
 54-5,15,17,23,34,47		13,21,30,40,41,48		4, 7,18,22,37,49
 55-10,17,20,26,29,33		1,18,33,41,42,43		8, 9,20,30,32,48
 56-6, 8,25,34,43,48		12,14,31,40,45,49		5,26,30,34,45,46
 57-4,20,26,38,39,48		17,18,32,38,43,44		1, 2,22,32,38,45
 58-2, 8,12,20,28,38		11,12,23,35,45,46		8,19,20,26,47,49
 59-1, 3,15,21,30,34		1,14,21,37,45,49		4,10,20,34,38,44
 60-1,27,34,35,40,42		16,27,33,34,38,43		3, 8,29,39,43,48
 61-7, 9,17,22,26,31		1, 4, 9,29,32,42		3, 4,15,19,35,41
 62-6,12,18,33,39,49		5, 7,26,27,29,36		7, 8,40,45,46,48
 63-11,13,23,24,27,34		6, 7, 8,14,20,43		1,11,14,27,30,47
 64-1, 9,21,22,42,46		2, 9,13,14,23,32		6,25,26,33,43,47
 65-5,19,26,27,28,45		4, 5, 6,19,26,45		6, 7,13,28,32,38
 66-16,25,36,41,46,49		18,22,23,30,40,48		2,11,20,24,25,49
 67-5,13,19,30,32,37		11,19,21,22,25,28		6,14,18,24,36,47
 68-11,18,21,23,41,49		1, 9,17,28,36,47		12,17,19,31,34,48
 69-3, 7,10,26,39,48		16,25,26,32,38,46		2, 7,15,36,41,45
 70-16,20,21,26,30,47		13,16,20,23,27,31		6,10,15,27,28,47
 71-1, 6,24,26,33,40		15,23,28,30,36,41		1, 2, 3,13,29,30
 72-17,19,22,36,38,49		7, 8,16,32,43,45		16,25,27,34,36,48
 73-13,20,22,37,46,49		6,19,24,25,40,49		2, 6,12,13,38,49
 74-4, 5,11,28,33,43		5, 9,14,15,16,47		3,14,20,34,37,44
 75-2,20,29,33,35,42		10,11,31,33,36,39		5, 9,13,26,34,40
 76-3,14,15,29,41,49		3, 4,24,34,43,49		1, 5, 9,29,30,43
 77-3, 4, 8,10,33,44		7,12,31,35,41,48		2, 9,11,30,33,39
 78-3, 9,11,32,38,48		1, 3,10,14,34,37		6,13,33,35,41,47
 79-6, 1,12,16,38,45		19,21,23,24,27,42		2, 4,19,30,39,48
 80-11,12,16,18,23,38		2,10,16,22,24,26		10,28,31,40,45,46
 81-14,15,20,25,45,46		8,20,24,30,46,47		7,10,24,29,31,48
 82-2, 4,32,35,40,42		17,20,29,40,41,45		1,20,27,32,36,38
 83-6,13,14,16,34,39		5, 8,10,20,34,38		1,10,17,32,46,47
 84-23,25,30,37,41,44		1, 2,17,35,40,46		5,16,25,30,34,38
 85-15,20,38,41,46,49		7,14,23,30,43,48		5,11,13,28,36,42
 86-3, 9,12,15,24,32		10,15,17,34,35,46		5, 6, 8,27,28,39
 87-11,29,32,37,46,47		14,26,29,31,43,48		2, 8,22,25,42,48
 88-2,10,17,18,41,42		13,17,34,36,42,48		6,32,35,37,47,49
 89-9,10,12,18,40,41		1, 2, 3, 8,17,39		5,19,21,26,35,44
 90-5, 6, 7,21,34,40		2, 9,12,19,28,36		6, 9,10,15,29,44
 91-10,25,32,36,43,47		14,21,23,24,27,33		11,22,37,41,42,45
 92-20,21,30,36,37,39		2, 4,18,27,40,49		3,11,16,19,30,34
 93-4,12,22,23,24,31		6,10,16,18,20,32		4,10,14,19,37,49
 94-2, 3, 4, 6,23,26		6,10,16,19,25,27		12,32,34,43,44,47
 95-5,18,24,44,46,47		9,17,22,23,35,36		4, 6,16,24,37,48
 96-4,16,29,30,34,38		1,10,36,38,41,48		4, 5,23,27,33,37
 97-3, 7,15,19,21,28		1, 6,10,12,21,37		21,23,24,30,34,40
 98-16,21,22,35,45,47		10,15,32,33,41,45		5,19,30,40,41,43
 99-6,33,37,45,48,49		4,24,25,31,34,38		19,21,23,27,29,38
100-9,11,12,17,30,44		1,20,26,28,34,35		3,14,28,33,37,49
101-8,10,16,28,40,47		3,10,17,29,44,46		1, 4,19,31,34,44
102-17,21,29,34,42,44		4, 8,20,25,39,46		5,14,17,24,36,44
103-2, 3, 9,16,21,28		16,19,28,32,47,49		9,32,35,39,47,48
104-6,30,31,32,37,41		13,17,36,42,47,48		10,15,18,24,36,49
