  0-8,18,29,40,43,46       9,13,22,37,44,45        10,20,21,33,38,47
  1-8,15,19,25,26,45       1,10,12,25,26,36        2,18,21,34,41,43
  2-9,14,22,26,31,39       12,19,20,36,41,46       7,26,28,39,40,42
  3-2,18,21,34,44,46       17,24,40,43,48,49       15,20,28,43,44,46
  4-5,20,24,27,36,37       6,8,9,12,33,34          1,17,25,26,33,48
  5-11,28,34,35,38,45      5,15,17,22,27,30        3,16,29,30,32,35
  6-10,19,23,33,34,38      7,17,22,33,38,42        2,4,9,27,45,48
  7-8,11,29,33,41,42       3,4,5,22,28,45          7,17,18,27,31,48
  8-9,10,16,36,44,49       6,12,18,33,37,39        1,2,11,27,39,44
  9-14,18,41,45,46,49      4,15,26,32,33,41        6,13,17,18,28,46
 10-8,10,12,36,40,41       3,10,11,15,30,32        8,16,33,37,48,49
 11-1,16,22,24,32,45       1,11,14,18,41,45        2,7,9,29,33,45
 12-17,18,19,27,31,35      10,18,22,23,25,37       8,18,19,20,23,34
 13-19,21,31,39,46,47      5,16,19,32,36,42        20,23,28,30,42,48
 14-9,11,14,21,28,29       5,6,10,15,35,48         7,10,17,36,39,42
 15-1,12,37,40,43,48       15,30,31,32,35,40       16,18,20,31,33,40
 16-3,18,26,40,43,47       3,5,19,21,23,27         5,12,28,30,41,47
 17-3,10,18,19,25,48       3,9,15,26,31,46         2,10,30,34,44,48
 18-5,7,10,13,25,43        2,14,34,44,46,49        23,30,34,38,39,44
 19-1,22,24,25,29,39       8,15,16,18,26,29        12,14,20,21,31,42
 20-4,21,23,29,40,49       3,5,27,28,35,42         1,15,19,22,26,39
 21-8,10,20,27,34,39       7,13,20,21,29,41        12,16,18,35,36,42
 22-8,15,31,38,40,44       18,25,31,34,36,49       11,23,26,37,39,42
 23-21,22,25,34,36,49      4,11,14,18,30,39        3,18,28,41,47,49
 24-11,15,20,27,35,48      11,14,22,40,41,48       9,17,25,32,39,49
 25-20,24,39,40,42,48      2,8,9,25,44,48          2,16,20,21,25,37
 26-3,6,7,13,27,47         1,25,35,36,40,49        10,11,14,25,26,28
 27-7,11,34,35,39,49       16,19,20,37,43,46       3,20,25,26,30,31
 28-2,8,26,35,37,47        1,9,15,28,46,49         4,35,36,37,40,42
 29-4,14,22,32,33,34       8,29,32,36,42,46        3,8,9,23,38,49
 30-1,7,12,15,33,34        2,15,30,34,42,45        6,10,38,40,48,49
 31-1,4,7,15,30,41         15,22,27,28,29,41       19,22,23,32,38,44
 32-3,12,15,20,31,33       3,5,9,19,34,45          2,9,14,16,24,32
 33-19,30,32,39,44,48      4,5,31,35,36,42         19,21,22,26,38,42
 34-26,29,37,38,41,43      6,7,26,29,30,37         4,6,14,35,38,49
 35-1,14,21,27,32,39       5,10,12,16,39,46        13,35,36,41,46,49
 36-9,17,24,25,36,38       9,22,24,35,39,43        7,21,23,35,38,41
 37-1,3,22,25,43,45        3,14,28,31,38,47        7,9,24,31,41,48
 38-6,19,20,23,42,47       2,4,8,9,24,25           13,14,16,18,33,49
 39-5,12,13,18,37,44       3,25,26,28,32,34        14,20,23,24,45,48
 40-10,14,26,34,45,48      10,11,16,17,23,40       12,21,25,29,43,49
 41-11,14,18,24,38,40      24,29,37,43,45,48       6,20,32,38,40,47
 42-25,33,35,37,41,45      10,14,25,27,44,49       2,3,17,38,45,49
 43-11,16,21,32,38,46      3,7,12,21,41,47         12,14,27,31,35,40
 44-8,9,16,25,28,34        1,8,9,10,19,49          1,6,7,19,27,45
 45-16,21,22,25,32,33      18,28,36,37,44,46       4,6,28,30,32,36
 46-21,24,27,28,39,46      2,11,17,24,35,37        13,22,34,35,45,46
 47-2,20,22,27,45,49       2,3,13,15,38,43         2,10,16,36,37,43
 48-1,2,4,8,46,49          22,28,33,42,47,49       1,6,11,26,29,32
 49-1,4,11,17,19,25        2,11,18,29,34,35        2,7,10,21,39,41
 50-20,28,40,42,45,48      1,20,26,33,39,41        9,16,24,29,37,38
 51-1,6,13,35,37,40        12,18,22,27,29,49       6,7,26,33,37,40
 52-7,12,28,31,40,47       5,22,28,31,37,49        6,23,24,30,38,42
 53-7,10,24,42,45,49       4,7,14,16,27,47         2,7,19,24,26,36
