  0		 2,  9, 19, 20, 23, 30		 5, 16, 39, 40, 44, 48
  1		 4,  8, 14, 15, 19, 28		20, 22, 32, 36, 44, 46
  2		 9, 12, 22, 30, 37, 47		 8, 20, 21, 41, 42, 46
  3		26, 29, 31, 32, 34, 36		 3,  9, 10, 36, 43, 49
  4		 1,  8, 16, 25, 41, 45		 3, 10, 11, 14, 32, 33
  5		 6, 18, 20, 27, 31, 47		 4, 12, 19, 23, 26, 30
  6		14, 27, 34, 36, 38, 40		 1,  7,  9, 18, 30, 46
  7		 8, 15, 16, 41, 42, 47		 3,  8, 15, 30, 31, 38
  8		12, 33, 41, 43, 47, 48		 4,  5, 23, 30, 35, 43
  9		10, 13, 31, 33, 43, 46		 6, 24, 25, 35, 41, 42
 10		 4, 19, 21, 33, 40, 46		 7, 20, 21, 26, 33, 34
 11		 8, 13, 15, 24, 35, 41		 2, 11, 17, 27, 32, 33
 12		10, 13, 27, 36, 38, 45		 6, 12, 23, 35, 42, 48
 13		 2,  7, 14, 27, 42, 49		11, 18, 21, 22, 30, 46
 14		 8, 11, 15, 33, 37, 48		12, 15, 23, 26, 33, 46
 15		 3, 14, 20, 26, 30, 37		13, 20, 23, 26, 46, 48
 16		 3, 15, 16, 25, 26, 35		 7, 26, 34, 35, 44, 48
 17		 2,  6, 16, 21, 38, 45		 1,  7, 18, 31, 48, 49
 18		 9, 13, 14, 29, 31, 46		 1,  2,  9, 30, 39, 47
 19		15, 18, 26, 30, 33, 38		12, 15, 18, 33, 44, 46
 20		 8, 12, 17, 29, 41, 45		 9, 12, 16, 38, 43, 46
 21		 1, 13, 14, 15, 30, 36		 1,  6, 16, 23, 28, 37
 22		 6,  9, 11, 13, 15, 45		10, 32, 36, 37, 38, 48
 23		12, 16, 18, 27, 39, 41		16, 25, 28, 29, 35, 41
 24		 7, 13, 14, 20, 32, 36		 3,  7,  9, 20, 27, 37
 25		 2,  6, 15, 25, 26, 49		23, 26, 28, 41, 44, 46
 26		10, 12, 14, 18, 36, 42		 5,  9, 17, 25, 26, 37
 27		 1,  5, 10, 30, 33, 39		 3,  5,  7, 16, 22, 45
 28		17, 28, 29, 30, 38, 42		14, 16, 17, 30, 36, 44
 29		14, 26, 27, 30, 34, 39		 9, 16, 23, 25, 38, 42
 30		15, 19, 22, 31, 34, 41		14, 17, 20, 30, 39, 41
 31		 7, 10, 24, 33, 34, 46		18, 25, 27, 37, 47, 49
 32		 6, 16, 31, 32, 37, 44		23, 27, 32, 36, 41, 44
 33		17, 30, 33, 42, 44, 49		11, 13, 27, 29, 39, 47
 34		14, 24, 28, 33, 44, 49		 3,  6, 29, 38, 44, 49
 35		 1,  8, 24, 38, 39, 40		 4, 15, 26, 30, 31, 48
 36		 7,  9, 16, 33, 37, 47		 7,  9, 12, 22, 25, 34
 37		 3, 23, 29, 36, 45, 46		11, 22, 26, 31, 39, 43
 38		 8, 11, 13, 26, 35, 42		 5, 12, 24, 28, 29, 35
 39		10, 13, 23, 37, 38, 41		 8, 23, 26, 31, 37, 41
 40		 4, 19, 27, 32, 36, 43		 2, 21, 27, 33, 45, 46
 41		 4,  9, 23, 40, 41, 44		 2,  4,  9, 13, 15, 40
 42		 1,  3,  6,  7, 11, 14		 1,  4,  6, 22, 25, 35
 43		 1,  4, 11, 15, 24, 36		 4, 11, 24, 28, 29, 46
 44		 5,  9, 11, 13, 16, 48		 6,  9, 10, 14, 22, 34
 45		17, 23, 33, 37, 42, 44		13, 18, 20, 24, 40, 41
 46		 2,  9, 10, 28, 45, 46		15, 24, 27, 30, 46, 49
 47		 6, 15, 22, 28, 30, 46		28, 34, 36, 38, 45, 48
 48		 5,  6, 23, 37, 46, 48		12, 14, 19, 24, 38, 49
 49		 8, 15, 21, 33, 35, 46		 6, 13, 14, 15, 43, 47
