1,1,5,12,13,30,31       1,5,6,17,27,35
2,5,10,15,21,39,42      13,15,16,32,40,44
3,3,11,23,30,40,47      12,14,26,40,43,47
4,7,22,25,32,35,44      19,24,25,30,38,41
5,9,25,29,31,34,48      9,28,33,41,43,44
6,3,5,19,28,46,48       12,21,27,37,39,42
7,7,8,18,26,29,35       13,14,22,29,41,46
8,2,4,11,12,17,26       3,17,21,34,35,38
601,1,7,10,30,32,36     2,12,29,36,41,43        9,24,25,34,40,42
9,5,7,16,30,41,44       4,18,30,36,38,42
10,7,9,12,37,40,45      11,13,22,34,37,39
11,1,3,4,29,46,49       2,4,7,11,13,24
12,2,13,22,25,32,44     7,9,14,33,39,48
13,2,24,27,34,36,47     3,6,8,14,18,29
14,11,17,21,36,37,46    11,13,20,25,28,39
15,2,8,13,15,16,40      10,34,39,41,46,49
16,10,21,25,31,33,37    2,7,10,32,38,44
17,1,4,23,26,32,46      1,6,12,17,33,49
18,1,4,20,26,39,44      38,40,45,46,47,48
19,2,17,25,26,37,47     4,9,13,28,35,47
602,2,10,15,18,29,39    4,5,21,30,38,40         9,15,21,27,33,34
20,5,11,15,20,42,48     8,9,10,18,23,33
21,3,8,20,21,30,42      4,24,38,39,43,44
22,3,11,22,26,34,36     1,2,7,22,27,36
23,14,20,32,37,39,46    6,11,31,32,41,44
24,4,10,29,34,43,48     1,4,14,33,42,47
25,2,6,29,31,32,41      5,6,25,40,43,45
26,5,13,34,37,41,45     16,22,24,27,36,44
27,16,18,20,27,44,49    17,18,33,38,39,45
28,13,14,21,22,26,47    13,16,22,35,38,44
29,12,13,29,33,39,47    10,21,28,37,42,49
30,5,18,22,25,32,42     26,27,37,39,43,46
31,6,11,16,31,34,36     14,21,24,36,40,45
32,7,13,25,42,43,45     3,5,6,19,36,46
33,17,20,23,27,41,48    8,20,36,43,45,49
34,18,20,21,28,34,45    15,17,20,23,39,45
35,10,12,26,29,35,40    21,39,41,42,46,48
603,12,19,25,30,33,49   7,21,33,41,44,49        5,18,27,28,31,45
36,1,7,34,35,42,43      7,10,12,17,24,33
37,8,10,21,29,44,47     13,30,31,39,44,45
38,6,9,21,34,35,36      9,12,14,18,21,23
39,7,24,26,33,40,42     15,23,29,34,42,49
40,1,5,26,27,28,46      2,27,28,29,31,44
41,3,6,22,39,43,48      8,12,18,28,36,45
42,4,6,11,16,20,23      19,23,25,28,30,42
43,7,16,24,38,40,44     2,6,8,15,23,25
44,5,10,14,42,44,45     2,4,6,22,39,44
45,22,26,29,31,35,44    4,5,11,19,21,22
604,2,15,17,31,40,44    7,14,24,34,37,49        6,9,10,11,12,24
46,2,7,10,23,41,46      1,3,14,20,21,38
47,1,3,5,35,36,44       22,23,32,41,47,49
48,11,13,14,30,41,43    5,8,16,20,43,47
49,3,4,23,29,43,47      3,27,36,39,43,45
605,2,3,6,24,35,42      5,12,13,26,29,32        3,8,26,38,45,49
50,1,8,15,34,42,44      5,15,19,28,30,34
51,16,18,31,32,34,48    2,6,13,19,26,42
52,5,10,12,15,31,47     19,27,29,42,43,44
