0,11,22,28,43,44,45
1,2,5,17,25,29,40
2,3,14,31,32,43,46
3,4,5,7,20,22,43
4,5,12,14,23,27,36
5,1,2,7,15,17,40
6,2,7,13,17,27,33
7,3,11,14,17,45,49
8,1,10,12,22,38,40
9,6,17,23,28,30,37
10,17,22,27,28,30,38
11,7,27,36,44,45,48
12,16,18,24,29,34,49
13,5,8,15,30,38,39
14,1,7,19,33,44,45
15,4,11,13,22,36,38
16,5,22,23,29,37,47
17,13,16,21,27,42,45
18,1,3,8,13,33,42
19,12,15,17,24,31,37
20,3,7,12,20,29,42
21,12,21,25,29,41,45
22,15,19,33,35,40,48
23,4,14,17,20,25,44
24,4,22,27,39,47,49
25,6,10,14,34,40,49
26,17,20,22,31,43,45
27,5,13,18,24,27,49
28,4,13,15,33,37,43
29,1,14,16,28,31,42
30,6,15,24,25,30,31
31,4,13,29,38,46,48
32,4,5,8,16,37,49
33,1,10,12,16,32,35
34,12,21,22,36,38,48
35,4,7,12,18,45,48
36,1,21,22,28,31,39
37,7,10,12,25,34,39
38,5,9,11,21,25,40
39,3,8,15,25,34,37
40,12,13,17,22,26,37
41,14,23,25,38,43,46
42,9,13,22,27,32,41
43,8,24,29,37,43,44
44,8,16,19,21,23,29
45,4,12,15,20,21,34
46,1,7,23,36,46,47
47,6,11,13,21,30,36
48,20,23,25,27,28,45
49,2,10,16,17,21,37
50,8,24,28,29,40,47
51,5,10,13,25,29,40
52,11,25,33,38,40,47
601,1,8,16,23,24,36
602,3,5,19,26,32,37
603,9,12,16,28,36,42
