0-9,23,29,35,42,48		4, 8,17,20,31,34		3, 6, 8,12,37,48
1-17,19,28,44,47,49		8,18,26,29,31,37		6,12,19,21,35,38
2-1, 4,15,20,27,46		2,10,12,18,26,28		3,13,18,19,32,34
3-4,21,25,30,39,45		15,17,20,26,29,34		8,18,26,30,32,47
4-1,13,32,41,46,48		8,10,26,33,44,46		1,17,28,33,39,44
5-7,12,21,29,45,49		1, 4, 5, 9,35,38		4,10,23,24,29,32
6-7, 9,20,24,28,46		2, 3,11,24,35,45		3, 5,12,23,27,47
7-21,24,25,27,42,46		2, 5,10,20,46,47		2, 9,15,34,36,42
8-1, 3, 5,15,25,34		20,35,37,39,47,48		3, 9,22,26,32,38
9-5,34,37,40,41,46		2, 3,10,17,26,40		4, 6,10,24,26,32
10-1,19,20,25,30,42		8,16,18,30,39,43		22,30,31,34,43,45
11-2,14,25,43,44,49		1,20,21,34,36,48		7,12,15,22,40,47
12-4, 5,18,23,27,31		19,25,34,36,38,43		6,10,15,28,30,43
13-1, 5,22,23,38,43		6,14,17,21,48,49		4,24,35,36,37,47
14-3,14,31,34,40,46		7,29,34,40,42,46		6,11,20,27,29,30
15-1,11,16,21,23,44		10,21,37,41,45,49		4, 7, 9,23,30,47
16-4,11,16,27,29,48		1,18,29,37,42,45		11,24,31,36,42,47
17-8,13,22,25,27,37		6, 7, 9,21,25,46		2,14,19,33,36,41
18-1,11,20,22,27,40		4,16,23,27,37,38		2,12,19,26,28,40
19-4,15,34,37,39,41		10,21,22,25,26,36		9,23,25,29,34,40
20-4, 8,12,24,43,47		18,37,40,44,47,49		4, 5,27,33,44,47
21-8,10,29,40,43,44		17,18,24,27,30,34		14,16,23,28,33,41
22-2,14,19,21,41,43		1, 9,14,21,26,36		7,27,30,33,35,44
23-1,15,17,25,34,39		4, 5,15,30,33,38		1, 7,20,21,26,31
24-2,21,31,33,39,46		10,20,22,26,27,41		3, 5,17,21,24,44
25-5,10,17,27,37,47		1, 8,13,23,27,40		3,10,11,20,32,36
26-18,23,25,35,39,48		2, 7,10,17,35,45		4, 6,11,27,36,49
27-6,21,32,36,43,47		6, 8,22,24,33,47		4,10,26,34,41,47
28-9,24,28,34,37,43		10,11,13,15,23,34		2, 4,10,19,29,43
29-1, 4, 8,20,38,42		9,10,26,28,43,44		16,25,31,38,39,46
30-19,29,33,34,40,44		3,10,23,29,36,47		1, 7,21,36,42,43
31-6,10,23,26,43,45		15,19,32,33,35,47		27,33,37,39,41,47
32-4, 6,16,19,30,31		7,19,26,28,32,45
33-5,14,25,28,30,48		8,26,29,30,36,49
34-7,13,20,27,30,40		5, 7,12,23,40,47
35-16,21,35,36,37,41		8,10,29,34,35,39
36-8,11,21,28,42,49		1, 8,24,26,27,46
37-6, 9,19,33,37,44		1, 6, 7,12,16,45
38-3, 5, 9,26,28,30		4, 5,14,20,35,36
39-3, 4, 6,17,37,44		6,36,41,45,47,48
40-7,17,19,23,33,34		11,12,20,22,34,36
41-12,25,28,32,35,47		22,28,32,41,45,48
42-11,26,32,33,36,37		2,32,36,39,42,49
43-3, 8,21,24,36,48		10,17,19,20,23,39
44-3,12,14,32,34,36		1,24,25,35,40,41
45-14,22,26,29,43,47		15,18,22,29,44,48
46-1,10,30,32,45,47		20,25,31,38,39,42
47-13,19,32,41,44,46		5,25,28,39,46,48
48-6, 8,17,18,22,26		2,13,16,30,39,47
49-3,15,23,38,41,49		3, 6,10,15,38,47
50-2, 3, 5,12,14,17		1,17,27,28,39,45
51-14,19,29,31,40,41		10,21,29,38,48,49
52-2,12,13,19,37,45		3, 6,17,40,43,46
53-19,30,32,35,44,47		1,11,34,37,41,47
54-5,11,13,31,33,44		10,16,26,31,39,41
55-5,24,33,42,45,49		8,12,14,25,36,48
56-1,25,30,35,36,44		2, 9,10,22,31,48
57-6, 8,10,19,30,33		4, 9,29,31,38,40
58-15,22,27,32,37,45		4, 5, 9,13,17,41
59-22,33,37,39,47,48		4, 8,30,35,43,46
60-3, 4, 7,12,20,38		2, 3, 9,25,34,38
61-13,20,26,27,29,35		9,11,20,35,44,46
62-8,19,30,31,35,44		6, 9,11,25,35,44
63-8,13,14,18,25,34		6,13,14,16,22,27
64-13,18,29,33,37,45		1, 4, 7,24,42,44
65-3, 5,11,25,34,41		3, 4,28,32,38,45
66-2, 7,10,16,37,47		5, 8,26,28,30,34
67-3, 4,33,34,35,41		7,13,30,41,46,49
68-6,18,33,34,40,49		13,15,17,25,31,42
69-2,10,19,21,39,42		8,10,12,16,23,39
70-2, 4,11,20,36,46		5,16,23,27,29,35
71-4, 6,12,22,33,49		14,21,24,35,38,40
72-36,38,39,40,46,48		6, 9,19,22,29,42
73-3, 8,10,11,13,16		3,15,22,26,34,40
74-3,12,16,18,26,33		8,17,31,32,33,46
75-1, 8, 9,15,16,24		9,12,14,22,40,48
76-7, 9,11,21,38,48		4,11,16,20,46,47
77-3, 6,15,25,39,40		1,26,29,38,40,46
78-10,23,25,28,33,47		9,19,23,26,30,49
79-4,22,24,29,35,40		3,28,33,37,44,49
80-1,10,13,15,19,49		10,11,17,19,23,40
81-12,14,19,30,39,42		10,14,18,19,37,46
82-7,14,24,37,44,47		1,10,17,28,30,48
83-2, 9,10,15,33,49		18,22,29,36,40,42
84-8,19,37,39,41,49		6,35,37,39,40,45
85-13,21,26,32,36,47		2,31,33,34,38,48
