601,8,11,21,26,35,38    6,7,14,16,17,37
1,23,24,43,44,46,48     14,27,30,31,33,46
2,24,26,27,30,32,40     2,18,20,22,29,46
3,2,23,25,28,40,49      3,4,13,38,39,49
4,3,11,14,29,45,48      23,25,27,28,30,33
5,2,3,19,27,31,44       9,11,27,28,32,47
6,1,5,21,30,33,36       8,17,22,28,43,46
7,7,12,17,32,38,40      10,15,16,44,47,49
602,12,30,34,41,44,46   11,17,27,33,35,39     17,20,23,25,29,46   7,14,20,31,41,47
8,3,11,14,35,37,42      3,4,9,16,20,49
9,2,10,14,20,28,34      1,4,6,37,38,42
10,5,8,18,32,33,37      10,18,20,27,28,41
11,7,9,12,25,26,46      20,21,25,34,40,44
12,8,14,17,20,28,38     13,14,17,44,45,46
13,2,27,30,36,37,45     11,35,36,39,46,47
14,3,4,7,13,19,34       29,31,35,38,42,49
15,3,18,22,30,33,36     12,15,20,31,33,37
16,4,13,17,21,37,41     14,19,28,33,37,48
17,3,4,6,8,35,47        9,23,36,37,40,47
603,5,8,9,12,32,34      3,8,12,23,27,35
18,14,16,23,28,35,49    8,15,21,34,44,45
19,7,16,25,36,43,46     1,10,13,15,25,32
20,1,20,24,41,43,49     12,13,18,34,39,40
21,1,3,4,18,26,39       1,5,16,37,38,49
22,17,27,34,35,42,49    9,15,21,28,43,46
23,34,35,44,46,47,49    8,29,37,43,44,47
24,1,2,5,6,23,46        3,6,16,29,33,49
25,7,12,17,34,35,49     1,7,9,13,28,43
26,5,8,11,15,34,37      5,19,22,28,32,44
27,7,9,16,27,29,37      6,11,15,25,29,33
28,6,15,18,31,32,38     13,16,17,31,33,47
29,9,32,33,35,42,45     13,26,29,33,37,40
30,8,12,15,29,34,35     4,5,12,32,34,35
31,12,15,22,30,38,43    22,26,31,35,43,49
32,4,6,22,26,32,47      5,10,28,30,42,45
33,14,23,27,29,42,47    13,19,24,26,29,40
34,12,15,17,18,25,29    1,3,19,20,28,44
35,10,12,27,32,38,42    10,18,26,31,44,46
36,2,20,21,32,34,41     1,12,15,28,35,48
37,8,22,26,27,35,47     30,38,39,42,45,46
38,16,35,39,44,46,47    5,12,30,33,38,45
39,5,7,30,32,38,39      8,11,18,22,27,41
40,16,23,36,39,47,49    1,5,11,34,43,44
41,11,20,23,25,27,29    1,7,11,15,20,48
42,2,4,6,17,37,46       4,6,8,41,44,47
43,4,11,14,16,30,49     11,24,28,31,35,41
44,4,8,19,26,36,37      8,12,14,19,20,37
45,2,7,14,32,41,44      7,12,22,26,42,48
604,15,22,23,25,26,33   3,10,18,38,40,43
46,5,10,24,31,39,45     12,15,22,24,29,40
47,2,7,12,16,34,35      8,18,31,41,45,47
48,1,18,27,30,31,47     2,11,12,16,18,23
49,21,22,28,29,40,44    26,27,31,38,39,48
50,13,18,28,32,41,49    12,17,22,23,24,30
51,3,28,29,34,43,44     3,27,29,31,33,37
