601-8,25,30,34,36,44    7,12,29,37,44,48     2,18,21,22,32,35
 0-15,17,18,23,33,40   4,8,14,17,24,35      20,21,24,25,38,49
 1-3,4,17,33,41,46     1,15,28,32,43,44     18,19,21,29,33,40
 2-7,8,35,37,40,46     11,18,21,34,36,47    5,7,10,27,46,49
 3-1,6,12,31,39,40     4,12,15,18,29,35     21,30,32,43,47,49
 4-20,25,29,38,41,47   1,8,19,20,31,35      9,15,16,19,43,47
 5-18,22,23,25,36,48   1,13,30,32,39,40     1,3,8,43,47,49
 6-5,9,11,21,32,42     2,6,10,16,17,25      16,25,35,38,43,44
 7-22,28,29,31,43,44   2,20,28,30,34,37     6,8,10,19,29,33
 8-4,9,12,13,25,37     2,12,15,25,33,39     2,7,15,22,40,43
 9-4,13,19,20,42,47    4,9,17,18,40,47      1,5,11,26,38,46
10-1,8,12,25,32,43     3,4,11,28,30,32      24,30,31,36,39,41
11-4,10,26,40,44,45    3,5,23,28,41,45      2,15,17,35,47,48
12-9,18,21,28,35,43    4,5,36,40,41,46      17,19,24,25,29,31
13-6,22,28,31,43,48    10,20,22,23,26,31    6,14,22,25,26,33
14-7,15,26,27,36,47    5,29,30,42,43,49     3,14,16,30,46,48
15-1,6,14,16,19,38     4,13,16,17,44,48     2,10,13,23,33,42
16-3,22,34,38,39,48    11,18,30,33,38,46    1,6,8,27,45,46
17-1,5,39,40,45,48     2,15,19,27,43,49     5,8,13,26,27,48
18-5,8,13,20,24,46     2,6,22,24,35,43      2,4,8,12,33,45
19-11,30,33,39,41,43   9,14,17,18,34,43     15,18,31,39,42,43
20-5,7,8,37,42,49      8,22,29,32,36,46     7,17,18,26,46,49
21-1,8,18,32,33,42     12,15,20,28,29,36    18,28,35,42,46,48
22-8,16,21,27,32,45    9,11,13,15,21,43     10,22,35,37,42,47
23-5,35,37,38,41,43    12,27,39,40,46,48    1,16,35,36,38,43
24-1,7,8,9,45,46       20,21,24,30,31,45    1,3,12,14,17,34
25-1,2,18,34,38,42     2,25,28,31,33,48     1,15,17,25,39,42
26-3,9,17,35,46,47     13,20,24,38,41,43    1,6,19,25,34,39
27-13,17,20,22,33,43   1,25,30,43,47,48     8,20,21,24,30,40
28-2,15,20,39,40,49    22,23,27,39,41,46    4,22,23,24,47,48
29-1,28,29,33,36,39    10,17,18,31,32,35    13,20,34,36,46,48
30-2,18,21,28,37,45    5,8,17,18,24,49      8,11,29,34,36,43
31-3,29,37,41,44,47    12,24,25,33,36,42    8,21,22,34,40,41
32-4,9,16,19,25,44     8,17,25,26,45,48     14,21,23,31,42,48
33-12,17,23,28,29,44   10,11,24,25,40,49    9,10,17,41,44,45
34-19,23,26,27,44,47   7,9,14,30,46,49      16,28,29,32,40,49
35-9,10,17,20,21,28    5,9,23,33,34,37      2,34,39,42,44,49
36-9,13,17,23,24,45    2,7,14,15,18,41      3,17,25,33,45,47
37-16,20,21,26,29,30   25,26,29,31,32,49    3,6,19,30,34,36
38-2,16,38,39,40,41    2,7,9,20,31,35       4,5,6,8,15,16
39-6,26,27,32,41,43    7,8,11,28,30,46      13,24,27,31,37,49
40-10,13,27,38,40,42   9,31,32,39,43,49     4,15,23,39,42,45
41-7,12,14,16,19,38    20,22,25,29,30,32    7,10,21,31,38,48
42-5,21,25,26,29,37    9,11,13,38,40,45     12,20,30,39,44,48
43-4,20,32,34,41,46    15,22,28,31,41,45    10,29,35,37,41,49
44-6,15,23,34,38,43    26,28,38,40,43,45    7,19,26,40,42,46
45-9,15,35,38,40,48    2,22,31,38,46,48     5,25,33,40,41,47
46-9,13,19,36,46,47    2,4,18,23,28,39      11,19,25,44,45,48
47-1,11,12,26,27,28    6,8,19,20,29,32      11,15,16,24,37,49
48-6,21,24,27,28,47    1,9,14,19,20,48      5,6,15,31,42,45
49-1,18,26,31,41,45    3,6,10,18,24,31      9,13,20,21,34,39
50-19,28,40,41,42,47   7,13,14,18,21,37     7,26,34,38,43,46
51-13,14,18,19,28,38   12,16,26,30,45,46    21,23,33,38,46,47
52-7,10,13,31,35,46    4,9,14,25,28,43      12,17,20,39,40,45
53-4,15,17,35,39,48    8,11,20,34,37,45     1,5,11,38,43,44
54-10,26,31,35,41,46   12,14,28,32,38,44    2,12,20,22,25,32
55-1,9,22,28,44,48     2,8,19,28,33,39      5,10,21,22,29,48
56-5,6,14,24,33,49     3,9,16,20,33,41      2,5,28,35,43,49
57-1,6,27,32,36,48     4,12,14,20,25,49     10,22,25,28,44,46
58-8,11,19,33,36,38    2,6,7,14,17,43       6,25,27,30,37,42
59-2,16,17,20,44,49    10,22,28,31,41,47    6,8,19,20,29,38
60-1,9,14,40,48,49     4,19,20,24,25,46     1,10,12,14,26,44
61-10,11,16,28,36,45   7,15,38,41,48,49     6,25,40,42,43,48
62-11,21,24,25,30,48   10,21,27,37,40,49    9,12,22,24,29,43
63-17,25,32,39,43,48   7,14,15,36,41,45     6,12,18,27,34,41
64-2,8,12,19,32,37     5,8,22,33,36,41      4,6,8,21,25,30
65-16,17,20,32,34,38   3,7,10,26,39,46      11,30,32,34,35,46
66-7,8,14,24,33,36     2,4,18,29,42,48      11,14,15,28,29,46
67-11,16,24,25,32,47   16,20,23,32,45,48    12,18,31,36,39,42
68-1,11,18,20,36,40    3,7,9,15,20,39       1,2,7,15,23,36
69-3,20,26,28,31,37    1,5,10,22,31,42      7,9,26,31,33,48
70-20,21,37,38,48,49   11,13,26,33,34,42    9,10,29,30,33,47
71-7,9,13,17,20,35     4,10,17,30,41,49     1,15,18,26,28,30
72-1,31,35,41,43,46    8,13,16,20,25,40     9,18,25,32,33,42
73-5,8,10,17,25,47     2,8,20,31,42,48      5,13,22,24,43,48
74-14,15,21,22,23,49   4,7,9,19,25,26       2,13,34,38,43,46
75-1,14,16,20,33,49    33,37,42,43,44,49    4,12,20,40,41,49
76-16,26,33,39,44,46   22,24,28,36,42,47    3,9,19,23,25,30
77-1,8,18,29,40,44     5,6,8,11,33,39       2,3,4,8,15,48
78-13,15,22,33,34,48   2,8,26,39,44,48      5,8,21,31,45,48
79-12,13,23,30,40,42   1,11,19,20,32,37     1,4,20,30,39,42
80-10,12,19,26,37,44   10,21,24,30,33,43    8,27,28,38,43,44
81-12,15,33,34,37,48   14,27,31,38,48,49    22,24,30,36,41,42
82-3,13,14,29,35,40    5,9,13,25,28,48      9,20,24,37,46,48
83-11,13,15,32,33,44   1,23,25,27,34,42     4,12,18,21,34,38
84-7,25,31,39,41,43    4,6,23,39,40,47      7,20,33,35,38,40
85-4,10,11,21,32,37    9,21,29,30,32,42     3,7,34,35,41,44
86-3,18,19,23,44,48    2,13,19,26,34,49     5,7,17,19,23,35
87-6,30,40,41,44,48    4,6,13,28,45,46      6,10,26,30,34,45
88-26,28,35,39,41,42   14,26,29,39,40,45    8,10,39,41,43,48
89-3,4,5,9,15,28       2,5,7,14,22,44       2,10,16,22,30,42
90-4,14,18,25,30,42    7,13,30,31,43,46     4,18,31,36,37,47
91-3,30,33,34,40,44    10,29,36,40,45,49    1,30,33,37,46,47
92-7,10,14,19,24,41    6,7,15,36,41,47      5,7,14,15,23,41
93-5,26,33,39,46,48    2,7,8,32,39,46       5,18,20,30,38,42
94-10,11,14,17,18,44   3,10,13,15,22,42     7,26,27,38,42,47
95-3,15,33,38,40,46    7,8,15,17,20,34      25,29,31,32,39,48
96-4,10,23,31,32,37    6,8,12,19,30,31      10,13,15,27,34,46
97-3,31,34,35,36,43    4,16,25,31,34,38     6,13,15,33,45,46
98-4,8,16,19,32,47     3,5,13,22,25,45      20,26,29,32,33,36
99-1,5,6,21,42,48      17,25,43,45,47,48    8,10,13,16,22,49
100-3,17,21,31,34,41   8,10,11,21,25,34     12,21,26,40,44,48
101-12,21,26,33,35,43  5,6,7,9,24,37        17,20,28,30,34,36
102-2,13,16,38,42,46   2,11,29,35,38,40     6,8,25,33,35,44
103-12,22,26,37,44,47  3,11,25,43,47,48     5,14,23,24,30,44
